playlist_id,playlist_name,track_id,track_title,genre,duration,position
PL001,발라드,TR001,마음의 여행,발라드,100,1
PL001,발라드,TR002,지금 이대로도 좋아,발라드,100,2
PL001,발라드,TR003,Have a Good Time,발라드,100,3
PL002,조용한 음악,TR003,Have a Good Time,발라드,100,1
PL002,조용한 음악,TR004,너를 만나지 않았다면,발라드,100,2
PL002,조용한 음악,TR005,잔월,발라드,100,3
PL002,조용한 음악,TR006,행복의 형태,발라드,100,4
PL003,공부할때듣는음악,TR010,그저...,발라드,100,1
PL003,공부할때듣는음악,TR011,미친 사랑의 노래,발라드,100,2
PL004,산책할때 듣는 음악,TR001,마음의 여행,발라드,100,1
PL005,드라이브 음악,TR008,침묵의 음색,발라드,100,1
PL005,드라이브 음악,TR009,닿다,발라드,100,2
PL005,드라이브 음악,TR010,그저...,발라드,100,3
